verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1447874463;15.00172757748;5002;5647;48623;55663;48623;647;341380;729429;583560;         ;55663;680806;20050228903
1.1448697119;15.00172757748;5002;5648;48623;55667;48623;648;341594;729429;583560;         ;55667;680806;20039823581
1.1449931103;15.00172757748;5002;5649;48623;55673;48623;649;341842;729429;583560;         ;55673;680806;20027765077
1.1451576414;15.00172757748;5002;5650;48623;55681;48623;650;342194;729429;583560;         ;55681;680806;20010649781
1.1453633054;15.00172757748;5002;5651;48623;55691;48623;651;342588;729429;583560;         ;55691;680806;19991492319
1.1454867038;15.00172757748;5002;5652;48623;55697;48623;652;342894;729429;583560;         ;55697;680806;19976613681
1.1457746334;15.00172757748;5002;5653;48623;55711;48623;653;343443;729429;583560;         ;55711;680806;19949919654
1.1458980318;15.00172757748;5002;5654;48623;55717;48623;654;343774;729429;583560;         ;55717;680806;19933825441
1.1459802974;15.00172757748;5002;5655;48623;55721;48623;655;344029;729429;583560;         ;55721;680806;19921426576
1.1462270942;15.00172757748;5002;5656;48623;55733;48623;656;344488;729429;583560;         ;55733;680806;19899108619
1.1468440861;15.00172757748;5002;5657;48623;55763;48623;657;345543;729429;583560;         ;55763;680806;19847811354
1.1473376797;15.00172757748;5002;5658;48623;55787;48623;658;346489;729429;583560;         ;55787;680806;19801813996
1.1474610781;15.00172757748;5002;5659;48623;55793;48623;659;346855;729429;583560;         ;55793;680806;19784017978
1.1475844765;15.00172757748;5002;5660;48623;55799;48623;660;347099;729429;583560;         ;55799;680806;19772153966
1.1477490077;15.00172757748;5002;5661;48623;55807;48623;661;347819;729429;583560;         ;55807;680806;19737145406
1.1478724061;15.00172757748;5002;5662;48623;55813;48623;662;348113;729429;583560;         ;55813;680806;19722850244
1.1479546717;15.00172757748;5002;5663;48623;55817;48623;663;348348;729429;583560;         ;55817;680806;19711423839
1.1479958045;15.00172757748;5002;5664;48623;55819;48623;664;348475;729429;583560;         ;55819;680806;19705248718
1.1480780700;15.00172757748;5002;5665;48623;55823;48623;665;348646;729429;583560;         ;55823;680806;19696934185
1.1482014684;15.00172757748;5002;5666;48623;55829;48623;666;348883;729429;583560;         ;55829;680806;19685410534
1.1483659996;15.00172757748;5002;5667;48623;55837;48623;667;349237;729429;583560;         ;55837;680806;19668197992
1.1484893980;15.00172757748;5002;5668;48623;55843;48623;668;349499;729429;583560;         ;55843;680806;19655458766
1.1486127964;15.00172757748;5002;5669;48623;55849;48623;669;349738;729429;583560;         ;55849;680806;19643837869
1.1490652572;15.00172757748;5002;5670;48623;55871;48623;670;350610;729429;583560;         ;55871;680806;19601438613
1.1494354524;15.00172757748;5002;5671;48623;55889;48623;671;351349;729429;583560;         ;55889;680806;19565506216
1.1495999835;15.00172757748;5002;5672;48623;55897;48623;672;351813;729429;583560;         ;55897;680806;19542945144
1.1496822491;15.00172757748;5002;5673;48623;55901;48623;673;352090;729429;583560;         ;55901;680806;19529476573
1.1497233819;15.00172757748;5002;5674;48623;55903;48623;674;352270;729429;583560;         ;55903;680806;19520724433
1.1500935771;15.00172757748;5002;5675;48623;55921;48623;675;352921;729429;583560;         ;55921;680806;19489070860
1.1502169755;15.00172757748;5002;5676;48623;55927;48623;676;353217;729429;583560;         ;55927;680806;19474678452
1.1502992411;15.00172757748;5002;5677;48623;55931;48623;677;353509;729429;583560;         ;55931;680806;19460480536
1.1503403739;15.00172757748;5002;5678;48623;55933;48623;678;353630;729429;583560;         ;55933;680806;19454597153
1.1506694363;15.00172757748;5002;5679;48623;55949;48623;679;354215;729429;583560;         ;55949;680806;19426152698
1.1510396315;15.00172757748;5002;5680;48623;55967;48623;680;354896;729429;583560;         ;55967;680806;19393040435
1.1514509594;15.00172757748;5002;5681;48623;55987;48623;681;355698;729429;583560;         ;55987;680806;19354044789
1.1516566234;15.00172757748;5002;5682;48623;55997;48623;682;356193;729429;583560;         ;55997;680806;19329976404
1.1517800218;15.00172757748;5002;5683;48623;56003;48623;683;356664;729429;583560;         ;56003;680806;19307074971
1.1519034202;15.00172757748;5002;5684;48623;56009;48623;684;356921;729429;583560;         ;56009;680806;19294578860
1.1525204122;15.00172757748;5002;5685;48623;56039;48623;685;357918;729429;583560;         ;56039;680806;19246101729
1.1525615449;15.00172757748;5002;5686;48623;56041;48623;686;358384;729429;583560;         ;56041;680806;19223443411
1.1528083417;15.00172757748;5002;5687;48623;56053;48623;687;358866;729429;583560;         ;56053;680806;19200007125
1.1533842009;15.00172757748;5002;5688;48623;56081;48623;688;359830;729429;583560;         ;56081;680806;19153134553
1.1535075993;15.00172757748;5002;5689;48623;56087;48623;689;360333;729429;583560;         ;56087;680806;19128677184
1.1536309977;15.00172757748;5002;5690;48623;56093;48623;690;360590;729429;583560;         ;56093;680806;19116181073
1.1537543961;15.00172757748;5002;5691;48623;56099;48623;691;360835;729429;583560;         ;56099;680806;19104268438
1.1537955289;15.00172757748;5002;5692;48623;56101;48623;692;361178;729429;583560;         ;56101;680806;19087590749
1.1540423256;14.00172757748;5002;5693;48623;56113;48623;693;312973;680806;534937;         ;56113;680806;19067266335
1.1542479896;14.00172757748;5002;5694;48623;56123;48623;694;313341;680806;534937;         ;56123;680806;19049373071
1.1544125208;14.00172757748;5002;5695;48623;56131;48623;695;313675;680806;534937;         ;56131;680806;19033132989
1.1547827160;14.00172757748;5002;5696;48623;56149;48623;696;314235;680806;534937;         ;56149;680806;19005904109
1.1551529112;14.00172757748;5002;5697;48623;56167;48623;697;314799;680806;534937;         ;56167;680806;18978480737
1.1552351768;14.00172757748;5002;5698;48623;56171;48623;698;315201;680806;534937;         ;56171;680806;18958934291
1.1553997080;14.00172757748;5002;5699;48623;56179;48623;699;315510;680806;534937;         ;56179;680806;18943909784
1.1557699031;14.00172757748;5002;5700;48623;56197;48623;700;316046;680806;534937;         ;56197;680806;18917847856
1.1559755671;14.00172757748;5002;5701;48623;56207;48623;701;316497;680806;534937;         ;56207;680806;18895918883
1.1560166999;14.00172757748;5002;5702;48623;56209;48623;702;316753;680806;534937;         ;56209;680806;18883471395
1.1565925591;14.00172757748;5002;5703;48623;56237;48623;703;317488;680806;534937;         ;56237;680806;18847733490
1.1566336919;14.00172757748;5002;5704;48623;56239;48623;704;317819;680806;534937;         ;56239;680806;18831639277
1.1568393559;14.00172757748;5002;5705;48623;56249;48623;705;318190;680806;534937;         ;56249;680806;18813600144
1.1571272854;14.00172757748;5002;5706;48623;56263;48623;706;318657;680806;534937;         ;56263;680806;18790893203
1.1572095510;14.00172757748;5002;5707;48623;56267;48623;707;318951;680806;534937;         ;56267;680806;18776598041
1.1572506838;14.00172757748;5002;5708;48623;56269;48623;708;319086;680806;534937;         ;56269;680806;18770033936
1.1578676758;14.00172757748;5002;5709;48623;56299;48623;709;319903;680806;534937;         ;56299;680806;18730308945
1.1581144726;14.00172757748;5002;5710;48623;56311;48623;710;320422;680806;534937;         ;56311;680806;18705073608
1.1585669333;14.00172757748;5002;5711;48623;56333;48623;711;321203;680806;534937;         ;56333;680806;18667099045
1.1591016597;14.00172757748;5002;5712;48623;56359;48623;712;322046;680806;534937;         ;56359;680806;18626109856
1.1593073237;14.00172757748;5002;5713;48623;56369;48623;713;322631;680806;534937;         ;56369;680806;18597665401
1.1594718549;14.00172757748;5002;5714;48623;56377;48623;714;323065;680806;534937;         ;56377;680806;18576563019
1.1595952533;14.00172757748;5002;5715;48623;56383;48623;715;323385;680806;534937;         ;56383;680806;18561003659
1.1598009173;14.00172757748;5002;5716;48623;56393;48623;716;323744;680806;534937;         ;56393;680806;18543548002
1.1599654485;14.00172757748;5002;5717;48623;56401;48623;717;324037;680806;534937;         ;56401;680806;18529301463
1.1602945108;14.00172757748;5002;5718;48623;56417;48623;718;324494;680806;534937;         ;56417;680806;18507080752
1.1605824404;14.00172757748;5002;5719;48623;56431;48623;719;325111;680806;534937;         ;56431;680806;18477080361
1.1607058388;14.00172757748;5002;5720;48623;56437;48623;720;325451;680806;534937;         ;56437;680806;18460548541
1.1608292372;14.00172757748;5002;5721;48623;56443;48623;721;325662;680806;534937;         ;56443;680806;18450289088
1.1610349012;14.00172757748;5002;5722;48623;56453;48623;722;326068;680806;534937;         ;56453;680806;18430548150
1.1613228308;14.00172757748;5002;5723;48623;56467;48623;723;326546;680806;534937;         ;56467;680806;18407306356
1.1614462292;14.00172757748;5002;5724;48623;56473;48623;724;326835;680806;534937;         ;56473;680806;18393254309
1.1615284947;14.00172757748;5002;5725;48623;56477;48623;725;327078;680806;534937;         ;56477;680806;18381438920
1.1615696275;14.00172757748;5002;5726;48623;56479;48623;726;327184;680806;534937;         ;56479;680806;18376284882
1.1617752915;14.00172757748;5002;5727;48623;56489;48623;727;327514;680806;534937;         ;56489;680806;18360239292
1.1620220883;14.00172757748;5002;5728;48623;56501;48623;728;327886;680806;534937;         ;56501;680806;18342151536
1.1620632211;14.00172757748;5002;5729;48623;56503;48623;729;328109;680806;534937;         ;56503;680806;18331308607
1.1621866195;14.00172757748;5002;5730;48623;56509;48623;730;328321;680806;534937;         ;56509;680806;18321000531
1.1623922835;14.00172757748;5002;5731;48623;56519;48623;731;328660;680806;534937;         ;56519;680806;18304517334
1.1625568147;14.00172757748;5002;5732;48623;56527;48623;732;328951;680806;534937;         ;56527;680806;18290368041
1.1626390803;14.00172757748;5002;5733;48623;56531;48623;733;329166;680806;534937;         ;56531;680806;18279914096
1.1626802131;14.00172757748;5002;5734;48623;56533;48623;734;329297;680806;534937;         ;56533;680806;18273544483
1.1628858771;14.00172757748;5002;5735;48623;56543;48623;735;329621;680806;534937;         ;56543;680806;18257790631
1.1634206034;14.00172757748;5002;5736;48623;56569;48623;736;330416;680806;534937;         ;56569;680806;18219135346
1.1638730642;14.00172757748;5002;5737;48623;56591;48623;737;331176;680806;534937;         ;56591;680806;18182181866
1.1639964626;14.00172757748;5002;5738;48623;56597;48623;738;331582;680806;534937;         ;56597;680806;18162440928
1.1640375954;14.00172757748;5002;5739;48623;56599;48623;739;331809;680806;534937;         ;56599;680806;18151403507
